datetime,WIKI/AAPL,WIKI/GOOG,WIKI/MSFT,cash,commission,total,returns,equity_curve,drawdown
2017-04-24,14364.0,86276.0,6753.0,3997.0,0.0,111390.0,0.0202137695429,1.1139,0.0
2017-04-25,14454.0,87230.0,6792.0,3997.0,0.0,112473.0,0.00972259628333,1.12473,0.0
2017-04-26,14365.08,87162.4,6783.0,3997.0,0.0,112307.48,-0.00147164208299,1.1230748,0.0016552
2017-04-27,14379.0,87425.0,6827.0,3997.0,0.0,112628.0,0.00285395060062,1.12628,0.0
2017-04-28,14365.0,90596.0,6846.0,3997.0,0.0,115804.0,0.028199026885,1.15804,0.0
2017-05-01,14660.0,91257.0,6941.0,3997.0,0.0,116855.0,0.00907567959656,1.16855,0.0
2017-05-02,14751.0,91644.0,6930.0,3997.0,0.0,117322.0,0.00399640580206,1.17322,0.0
2017-05-03,14706.0,92704.0,6908.0,3997.0,0.0,118315.0,0.00846388571623,1.18315,0.0
2017-05-04,14653.0,93166.0,6881.0,3997.0,0.0,118697.0,0.00322866923044,1.18697,0.0
2017-05-05,14896.0,92713.0,6900.0,3997.0,0.0,118506.0,-0.00160913923688,1.18506,0.00191
2017-05-08,15300.0,93430.0,6894.0,3997.0,0.0,119621.0,0.00940880630517,1.19621,0.0
2017-05-09,15396.0,93217.0,6904.0,3997.0,0.0,119514.0,-0.00089449176984,1.19514,0.00107
2017-05-10,15326.0,92878.0,6931.0,3997.0,0.0,119132.0,-0.00319627826029,1.19132,0.00489
2017-05-11,15395.0,93060.0,6846.0,3997.0,0.0,119298.0,0.00139341234933,1.19298,0.00323
2017-05-12,15610.0,93222.0,6838.0,3997.0,0.0,119667.0,0.00309309460343,1.19667,0.0
2017-05-15,15570.0,93708.0,6843.0,3997.0,0.0,120118.0,0.00376879173039,1.20118,0.0
2017-05-16,15547.0,94300.0,6941.0,3997.0,0.0,120785.0,0.00555287300821,1.20785,0.0
2017-05-17,15025.0,91962.0,6748.0,3997.0,0.0,117732.0,-0.0252763174235,1.17732,0.03053
2017-05-18,15254.0,93024.0,6771.0,3997.0,0.0,119046.0,0.0111609418,1.19046,0.01739
2017-05-19,15296.0,93401.0,6769.0,3997.0,0.0,119463.0,0.00350284763873,1.19463,0.01322
2017-05-22,15399.0,94186.0,6845.0,3997.0,0.0,120427.0,0.00806944409566,1.20427,0.00358
2017-05-23,15380.0,94882.0,6868.0,3997.0,0.0,121127.0,0.00581264998713,1.21127,0.0
2017-05-24,15334.0,95496.0,6877.0,3997.0,0.0,121704.0,0.00476359523475,1.21704,0.0
